PE,AT,V,AP,RH
480.3052062988281,9.64,39.35,1015.1,91.76
434.78,25.65,78.92,1010.83,86.56
446.58,21.59,61.87,1011.18,57.21
437.76,27.98,58.33,1013.92,54.25
459.36,18.8,39.72,1001.24,63.8
462.28,18.28,44.71,1016.99,33.71
464.33,13.55,43.48,1016.08,67.25
444.36,22.99,46.21,1010.71,60.11
443.1456604003906,23.94,59.39,1014.32,74.55
468.0611572265625,13.74,34.03,1018.69,67.34
455.13,21.3,41.1,1001.86,42.75
440.36822509765625,27.54,66.93,1017.06,55.2
442.4310302734375,24.81,63.73,1009.34,83.61
482.98,4.97,42.85,1014.02,88.78
460.44,15.22,50.88,1014.19,100.12
444.97,23.88,54.2,1012.81,64.52
433.2011413574219,33.01,68.67,1005.2,51.41
432.5809326171875,25.98,73.18,1012.28,85.78
434.48,28.18,73.88,1005.89,75.41
444.2025146484375,21.67,60.84,1017.93,81.63
459.94329833984375,17.67,45.09,1014.26,51.92
454.66,21.37,57.76,1018.8,70.12
436.8937683105469,28.69,67.25,1017.71,53.83
458.23529052734375,16.61,43.77,1012.25,77.23
438.2027587890625,27.91,63.76,1010.27,65.67
450.5887451171875,20.97,47.43,1007.64,71.18
475.8468933105469,10.8,41.66,1013.79,81.96
448.5911865234375,20.61,62.91,1013.24,79.54
443.7525939941406,25.45,57.32,1011.7,47.09
432.6306457519531,30.16,69.34,1007.67,57.69
472.52,4.99,39.04,1020.45,78.89
471.301025390625,10.51,44.78,1012.59,85.29
428.2841491699219,33.79,69.05,1001.62,40.13
450.74,21.34,59.8,1016.92,77.06
444.8170166015625,23.4,65.06,1014.32,67.38
427.02978515625,32.21,68.14,1003.34,62.44
464.1546630859375,14.26,42.32,1016.0,77.43
447.06,27.71,66.93,1016.85,58.77
452.6202697753906,21.95,57.76,1018.02,67.72
441.362060546875,25.76,63.94,1018.49,42.14
434.5662841796875,23.68,68.3,1017.93,84.16
479.62261962890625,8.28,40.77,1011.55,89.79
447.19,23.44,62.52,1016.46,67.21
441.4891357421875,25.32,48.41,1008.47,72.14
490.9385070800781,3.94,39.9,1008.06,97.49
455.75,17.3,57.76,1016.26,87.74
455.86,18.2,49.39,1018.83,96.3
454.3607177734375,21.43,46.97,1013.94,61.25
474.59771728515625,11.16,40.05,1014.95,88.38
431.2611389160156,30.38,74.16,1007.44,74.77
447.3497619628906,23.36,62.52,1016.18,68.18
448.01739501953125,21.69,47.45,1007.56,77.2
448.8636779785156,23.62,49.21,1014.1,49.54
445.21,21.87,61.45,1011.13,92.22
441.7,29.25,66.51,1015.53,33.65
450.93,20.03,66.86,1013.05,64.59
451.44,18.14,49.78,1002.95,100.09
443.65203857421875,24.23,56.89,1012.32,68.04
458.85,18.11,44.85,1014.48,48.94
483.46600341796875,6.57,43.65,1018.24,74.47
467.19,12.56,43.41,1016.93,81.02
462.4184265136719,13.4,41.58,1020.5,71.17
439.08,27.1,52.84,1006.28,53.85
466.4607238769531,14.28,42.74,1028.79,70.67
465.04876708984375,16.29,44.34,1019.49,59.36
426.93,31.24,71.98,1004.66,57.17
474.65,10.57,37.73,1024.36,70.29
467.20172119140625,13.8,44.21,1022.93,83.37
434.50201416015625,25.3,71.58,1010.18,87.36
450.53,18.06,50.16,1009.52,100.09
444.51,25.42,59.04,1011.98,68.78
469.03,15.07,40.69,1015.29,70.98
466.56,11.75,71.14,1019.36,75.68
456.2675476074219,20.23,52.05,1012.15,47.49
438.50738525390625,27.31,59.54,1006.24,71.99
433.24,28.57,69.84,1003.57,66.55
452.55,17.9,43.72,1008.64,74.73
438.839111328125,23.83,71.37,1002.04,64.78
436.5989685058594,27.92,74.99,1005.47,75.13
454.97,17.34,44.78,1007.81,56.38
449.5714111328125,17.94,63.07,1012.42,94.35
486.03,6.4,39.9,1007.75,86.55
472.79,11.78,39.96,1011.37,82.95
448.8348693847656,20.28,57.25,1010.12,88.42
448.9468078613281,21.04,54.2,1012.26,85.61
440.13873291015625,25.11,67.32,1014.49,58.39
434.7680969238281,30.28,70.98,1007.51,74.28
480.25,8.14,36.24,1013.15,87.85
466.68,16.86,39.63,1004.47,83.5
493.0574951171875,6.25,40.07,1020.19,65.24
450.6029357910156,22.35,54.42,1012.46,75.01
448.71,17.98,56.85,1012.28,84.52
459.04486083984375,21.19,42.48,1013.43,80.52
450.71,20.94,44.89,1009.64,75.14
442.32958984375,24.23,58.79,1009.8,75.75
452.9056396484375,19.18,58.2,1017.46,76.72
447.7109069824219,20.88,57.85,1012.39,85.47
446.0848693847656,23.67,63.86,1019.67,57.95
467.6888427734375,14.12,39.52,1018.41,78.32
447.5340576171875,25.23,64.63,1020.59,52.2
488.8309326171875,6.54,39.33,1011.54,93.69
450.98,20.08,62.52,1017.99,75.74
443.69024658203125,24.67,63.56,1013.75,67.56
436.48,27.82,79.74,1008.37,69.46
460.84,15.55,42.03,1017.41,74.58
442.56,24.26,69.51,1013.43,53.23
464.8785095214844,13.45,41.49,1020.19,88.72
473.7743225097656,11.06,40.64,1021.47,96.16
441.15,24.91,52.3,1008.72,68.26
443.5210876464844,22.39,59.04,1011.78,86.39
475.4,11.95,40.69,1015.62,85.34
470.4088134765625,14.85,40.69,1014.91,72.64
463.57,10.11,41.62,1017.17,97.82
440.2798767089844,23.67,68.67,1006.71,77.22
460.64337158203125,16.14,44.21,1020.36,80.59
466.7784423828125,15.11,43.13,1014.99,46.91
445.9003601074219,24.14,59.87,1018.47,57.76
434.01,30.08,67.25,1017.6,53.09
463.41754150390625,14.77,44.9,1020.5,84.31
440.6,27.6,69.34,1009.63,71.58
466.74,13.89,44.84,1023.66,92.97
437.935302734375,26.85,75.6,1017.43,74.55
473.4884033203125,12.41,40.96,1023.36,78.96
474.81,13.08,41.74,1020.75,64.44
457.749755859375,18.93,44.06,1017.58,68.23
452.39556884765625,20.5,49.69,1009.6,70.81
429.8382263183594,30.72,69.13,1009.94,61.66
482.19,7.55,39.22,1014.53,77.76
468.4316101074219,13.49,44.47,1030.46,69.49
462.59,15.62,40.12,1013.03,96.26
447.82,24.8,64.63,1020.69,55.74
462.73,10.03,41.62,1014.55,95.61
447.98,22.43,63.21,1012.06,84.75
462.72,14.95,39.31,1009.15,75.3
442.63885498046875,24.78,58.46,1016.82,67.5
441.7917785644531,23.2,48.41,1008.64,80.92
468.5072326660156,14.01,39.0,1016.73,79.23
453.84,19.4,64.63,1020.38,81.1
436.92,30.15,67.32,1013.83,32.8
479.92584228515625,6.91,36.08,1021.82,84.31
441.20550537109375,29.04,60.07,1015.42,46.15
446.82,26.02,63.07,1010.94,53.96
484.91,5.89,39.48,1005.11,59.83
437.76,26.52,71.64,1008.27,75.3
438.91,28.53,68.08,1013.27,42.53
462.8994445800781,16.59,39.54,1007.97,70.58
441.7322998046875,22.95,67.79,1009.89,91.69
446.86,23.96,47.43,1008.38,63.55
459.4894714355469,17.48,44.2,1018.89,61.51
482.57,6.69,43.65,1020.14,69.55
476.03,10.25,41.26,1007.44,98.08
431.3304138183594,28.87,72.58,1008.69,79.34
473.4504089355469,12.04,40.23,1018.07,81.28
445.6,22.58,52.3,1009.04,78.99
458.9642639160156,15.12,52.05,1014.63,80.38
443.5753479003906,25.48,58.95,1017.02,51.16
428.8712463378906,27.87,70.79,1003.96,72.17
438.385986328125,23.72,70.47,1010.65,75.39
442.0714111328125,25.0,59.43,1007.84,68.91
476.29,8.42,40.64,1022.35,96.38
448.9239501953125,22.46,58.49,1011.5,70.54
440.5939025878906,29.92,57.19,1008.62,45.8
473.278564453125,11.68,39.22,1017.9,57.95
470.3540954589844,14.04,42.44,1012.74,81.89
450.8991394042969,19.86,59.14,1016.12,69.32
437.048583984375,25.99,68.08,1013.13,59.14
442.2235107421875,23.42,58.79,1009.74,81.54
477.62,10.6,40.22,1011.37,85.81
446.76,20.97,61.87,1011.45,65.41
472.52,14.14,39.82,1012.46,81.15
477.99017333984375,8.56,40.71,1021.27,95.87
440.85,24.86,72.39,1001.15,90.24
431.37,29.0,77.54,1011.33,75.13
437.33,27.59,71.97,1008.64,88.22
469.22,10.45,40.71,1015.68,81.48
471.11,8.51,40.78,1023.51,89.84
435.08660888671875,29.82,66.51,1010.98,43.57
445.33,22.56,62.26,1012.11,63.16
470.8042297363281,11.38,39.22,1018.62,57.14
452.8993225097656,20.25,57.76,1016.28,77.76
440.99,22.42,59.43,1007.12,90.56
468.4906311035156,14.85,38.91,1014.48,60.98
444.14,25.62,58.82,1010.02,70.31
457.17,19.85,56.53,1020.57,74.05
467.87,13.67,54.3,1015.92,75.42
437.0650634765625,24.39,70.72,1009.78,82.25
464.6629638671875,16.07,44.58,1019.52,67.95
460.7,11.6,39.1,1009.81,100.09
436.28887939453125,31.38,70.83,1010.35,47.28
433.1499328613281,29.91,76.86,998.59,72.41
450.27880859375,19.67,59.39,1014.07,77.67
441.2801208496094,27.18,64.79,1016.27,63.7
447.6899108886719,21.39,52.3,1009.2,79.77
467.83795166015625,10.45,41.01,1020.57,93.84
447.86,19.46,56.89,1014.02,84.95
446.4038391113281,23.55,62.96,1020.16,70.16
443.4334716796875,23.35,63.47,1011.78,84.24
483.51,9.26,41.66,1016.87,73.32
478.47357177734375,10.3,41.46,1018.21,86.17
455.16,20.94,58.16,1016.88,65.43
436.740966796875,23.13,71.25,1002.49,94.59
470.68,12.77,41.5,1014.13,86.8
429.28,28.29,69.13,1009.29,58.18
449.8948669433594,19.13,59.21,1018.32,89.66
437.73,24.44,73.5,1011.49,87.39
464.0267028808594,20.32,44.6,1015.16,36.35
442.86,20.54,69.05,1001.6,79.62
482.99,12.16,45.0,1021.51,50.52
440.0,28.09,65.27,1013.27,51.96
476.8824462890625,9.25,41.82,1033.25,74.73
455.28,21.75,49.82,1015.01,78.33
436.94,23.7,66.56,1002.07,85.19
462.44158935546875,16.22,37.87,1022.36,83.13
438.28,24.75,69.45,1013.97,53.49
476.0782470703125,10.48,39.58,1011.81,88.86
426.85,29.53,70.79,1003.7,60.89
470.18,12.59,39.72,1017.76,61.14
449.7747497558594,23.5,54.42,1012.31,68.29
428.32,29.01,66.56,1006.44,57.62
480.35,9.75,42.49,1010.57,83.63
455.3360900878906,19.55,56.53,1020.2,78.1
447.66,21.05,58.33,1013.14,66.34
443.06,24.72,68.67,1006.74,79.02
452.43,21.19,58.86,1014.19,68.96
479.2675476074219,10.77,41.54,1019.94,71.13
432.156005859375,28.68,73.77,1004.72,87.01
432.5419006347656,29.87,73.91,1004.53,74.3
441.4508972167969,22.99,68.67,1006.65,77.62
444.0798645019531,24.66,60.29,1018.0,59.56
425.72,32.63,69.89,1013.85,41.66
431.16998291015625,31.38,72.29,1008.73,73.27
436.1894226074219,23.87,60.27,1018.94,77.16
442.14337158203125,25.6,59.15,1013.31,67.02
434.72,27.62,71.14,1011.6,52.8
438.0533447265625,30.1,67.45,1014.23,39.04
475.64,12.19,41.17,1019.43,65.47
460.44,13.11,41.58,1020.43,74.32
436.4,28.29,68.67,1005.46,69.22
467.37982177734375,13.45,40.73,1018.7,93.88
475.55657958984375,10.98,41.54,1019.94,69.83
435.76,26.48,69.14,1009.31,84.11
469.5559387207031,13.07,45.51,1015.22,78.65
440.37359619140625,25.56,75.6,1017.37,69.31
447.6510009765625,22.68,50.78,1008.83,70.3
431.15,28.86,73.67,1006.65,68.23
446.476806640625,22.7,63.56,1014.32,71.76
431.03607177734375,27.89,73.21,1001.32,85.88
468.3516540527344,13.78,44.47,1027.94,71.09
445.33,28.14,51.43,1012.16,52.67
470.0765075683594,11.8,45.09,1013.21,89.68
473.77,10.71,39.61,1018.72,73.66
446.1955261230469,24.54,60.29,1017.42,58.94
475.4768981933594,11.54,40.05,1014.78,87.05
437.14,29.47,71.32,1008.07,67.0
435.1837158203125,29.24,69.05,1003.12,43.18
459.46270751953125,14.51,41.79,1009.72,80.62
449.7230224609375,22.91,60.07,1016.03,59.72
430.5910339355469,27.02,71.77,1006.38,72.1
468.46,13.49,44.47,1030.18,69.15
435.02,30.24,66.75,1017.95,55.66
443.1291198730469,23.19,48.6,1002.38,61.19
462.69,17.73,40.55,1003.36,74.62
450.7329406738281,18.62,61.27,1019.26,73.35
463.74,12.85,40.0,1015.89,68.85
436.00433349609375,32.33,69.68,1011.95,39.89
443.26,25.09,58.95,1016.99,53.16
432.16900634765625,29.45,69.13,1009.3,52.97
465.86,16.91,43.96,1013.32,79.87
463.9988098144531,14.09,45.87,1009.05,84.09
472.8364562988281,10.73,25.36,1009.35,100.15
440.75,23.2,49.3,1003.4,79.77
484.1854248046875,8.21,38.91,1015.82,88.99
485.0011291503906,9.3,40.56,1022.64,76.14
458.59,16.97,39.16,1005.7,69.13
439.7179260253906,23.69,71.97,1009.62,93.03
440.4134216308594,25.13,59.44,1012.38,77.92
479.3158874511719,9.86,43.56,1015.13,74.89
475.01,11.33,41.5,1013.58,88.7
439.3296813964844,26.95,48.41,1008.53,62.94
463.95037841796875,15.0,40.66,1016.28,89.62
448.5179443359375,20.76,62.52,1015.63,81.04
466.1255798339844,14.29,39.59,1010.93,94.53
448.337890625,19.74,67.71,1007.68,64.02
438.7735595703125,26.68,59.92,1009.94,70.57
468.1500244140625,14.24,41.4,1019.7,70.32
444.6,21.98,48.41,1008.42,84.86
440.26,22.75,59.39,1015.4,81.41
477.8862609863281,8.34,40.96,1023.28,89.45
475.19,11.8,41.2,1017.18,82.71
475.86578369140625,8.81,44.68,1023.06,93.93
429.3280029296875,30.05,73.68,1014.95,70.6
453.492919921875,16.01,65.46,1014.0,87.68
446.012939453125,21.75,58.79,1012.42,87.58
464.80450439453125,13.94,41.26,1021.67,74.4
431.9433898925781,29.25,69.13,1010.27,67.35
446.60791015625,22.33,45.87,1007.8,63.61
455.85,16.43,41.79,1005.47,76.89
475.8185119628906,11.5,40.22,1010.31,78.08
439.5512390136719,23.53,68.94,1007.53,69.17
452.77,21.86,49.21,1014.61,53.31
488.15655517578125,6.17,39.33,1012.57,93.32
438.41,30.19,64.79,1017.22,42.47
476.1,11.67,41.93,1019.81,82.58
466.3146667480469,15.34,36.99,1007.87,94.59
470.93682861328125,11.5,40.78,1023.91,86.31
442.12,25.53,57.17,1010.0,72.57
449.7206115722656,21.27,57.5,1014.53,80.76
433.72296142578125,28.37,69.13,1010.44,71.93
449.63,28.39,51.43,1011.74,47.54
462.7721862792969,13.78,45.78,1025.27,95.72
464.67,14.6,42.32,1015.71,77.03
487.36236572265625,5.1,35.57,1027.17,80.49
484.4919128417969,7.0,38.08,1020.27,77.67
437.95,26.3,77.95,1009.45,78.72
429.2,30.56,71.98,1004.74,58.77
451.2795715332031,21.09,46.63,1013.03,74.8
438.69549560546875,28.21,70.02,1010.58,51.34
458.8914489746094,15.84,49.69,1015.14,90.41
473.46728515625,10.03,40.96,1024.57,91.1
456.64544677734375,20.37,52.05,1012.34,62.57
446.9541015625,21.19,50.16,1005.81,84.27
428.045166015625,33.73,69.88,1007.21,42.93
433.43,29.87,73.68,1015.1,40.96
454.39947509765625,19.62,62.96,1020.76,76.53
479.555419921875,9.93,40.67,1018.08,69.74
473.57,9.43,37.14,1013.03,74.99
469.94,14.24,39.58,1011.17,70.45
452.07,12.97,49.83,1008.69,91.49
480.9322204589844,7.6,41.04,1021.82,88.97
480.7269287109375,8.39,36.24,1013.39,89.13
444.1772155761719,25.41,48.06,1013.12,46.52
465.17,18.43,56.03,1020.41,60.55
477.59075927734375,10.31,39.82,1012.87,88.71
473.6204528808594,11.29,41.5,1013.39,89.15
441.76,22.61,49.3,1003.51,83.02
429.2685852050781,29.34,71.98,1005.19,75.19
443.39105224609375,18.87,67.71,1004.0,87.35
465.7508544921875,13.21,45.87,1008.58,85.66
473.7159423828125,11.3,44.6,1018.19,91.66
431.0,29.23,72.99,1007.04,63.47
434.66107177734375,27.76,69.4,1004.27,72.25
432.98291015625,29.26,67.17,1006.6,70.58
452.33,25.72,49.82,1016.19,60.1
441.18255615234375,23.43,63.94,1010.64,89.29
441.0629577636719,25.6,63.76,1010.18,67.43
449.0850524902344,22.3,44.57,1008.48,67.58
434.5477600097656,27.91,72.24,1010.74,70.8
432.6304626464844,30.35,77.17,1009.55,63.62
446.79,21.78,47.43,1007.88,66.68
486.35,7.19,41.39,1018.12,90.76
453.18,20.88,59.8,1015.66,75.34
452.1824645996094,24.19,50.23,1015.73,59.77
480.26,9.98,41.54,1019.7,80.79
452.4290771484375,23.47,51.3,1011.89,74.1
458.41,26.35,49.5,1012.67,41.34
435.39,29.89,64.69,1006.37,58.78
448.96826171875,19.29,50.16,1010.49,97.78
459.59,17.48,43.14,1018.68,74.85
441.7010192871094,25.21,75.6,1017.19,69.84
446.8603210449219,23.3,48.78,1018.17,75.36
464.599365234375,15.42,37.85,1009.89,85.8
446.2443542480469,21.44,63.09,1016.56,90.11
432.96,29.45,68.27,1007.96,61.63
437.4598083496094,29.69,47.93,1002.85,44.76
464.7348937988281,15.52,36.99,1006.86,89.7
475.72,11.47,43.67,1012.68,72.51
479.3727111816406,9.77,34.69,1027.72,74.98
435.13,22.6,69.84,1006.37,79.59
479.6417236328125,8.24,39.61,1017.99,78.42
457.26,17.01,44.2,1019.18,61.23
462.24346923828125,19.64,44.6,1015.88,47.56
465.15,10.61,41.58,1021.08,93.06
472.7335205078125,12.04,40.1,1014.42,89.65
444.49,29.19,65.71,1013.85,50.5
452.84,21.75,45.09,1014.15,44.84
435.38,23.66,77.54,1008.5,85.32
435.2223815917969,27.05,75.33,1003.88,82.94
435.27,29.63,69.71,1009.04,67.26
458.174072265625,18.2,39.63,1005.35,79.05
433.07,32.22,70.8,1009.9,62.03
432.697021484375,26.88,73.56,1004.85,94.36
440.74,29.05,65.74,1013.29,60.02
474.49,8.9,39.96,1026.31,95.46
449.74,18.93,48.6,1005.72,84.92
436.73,27.49,63.76,1010.09,62.8
434.58,23.1,70.79,1006.53,90.81
475.5972595214844,11.22,43.13,1017.24,80.9
430.62548828125,31.97,79.74,1007.03,55.84
466.83,13.32,43.22,1009.45,75.3
426.2946472167969,31.68,68.24,1005.29,37.34
444.07,23.69,63.77,1013.39,79.5
468.1742248535156,13.83,41.49,1020.11,87.29
453.2849426269531,18.32,66.51,1015.18,81.5
479.5416259765625,11.05,40.71,1024.91,76.42
447.1228942871094,22.03,64.69,1007.21,75.75
480.87,10.23,41.46,1020.45,84.95
441.9,23.92,66.54,1009.93,62.37
430.2,29.38,69.68,1011.35,49.25
465.16,17.35,42.86,1014.62,74.16
471.32,9.81,44.45,1021.19,90.55
485.43,4.97,40.64,1020.91,94.28
495.35,5.15,40.07,1012.27,63.31
449.4736328125,21.54,58.49,1010.85,78.9
480.53,7.94,42.02,1006.22,90.97
456.6634521484375,18.77,50.66,1014.89,87.34
441.8259582519531,21.69,69.94,1010.7,80.8
477.8992614746094,10.07,44.68,1023.44,90.95
471.8373107910156,13.83,39.64,1012.52,69.97
473.7284851074219,10.45,39.69,1003.92,89.45
476.75665283203125,11.56,40.71,1015.85,76.08
435.21,23.64,70.04,1011.09,83.35
477.78,10.48,40.22,1004.81,92.16
473.6148376464844,13.09,39.85,1012.86,58.42
483.9,10.67,40.23,1017.75,85.06
472.5704345703125,12.57,39.16,1016.53,88.91
462.16,14.45,43.34,1015.47,83.33
468.181640625,14.22,37.85,1011.24,88.49
484.7001647949219,6.97,41.26,1010.6,96.88
446.34,20.61,63.86,1015.43,73.86
466.9344482421875,14.67,42.28,1007.21,65.17
432.12,29.06,72.86,1004.23,69.41
467.28,14.38,40.1,1015.51,81.23
430.6732177734375,32.51,69.98,1013.29,54.07
469.49,11.79,45.09,1013.16,89.17
485.87,8.65,40.56,1023.23,78.85
478.38446044921875,9.75,40.81,1026.0,84.44
479.03,9.11,40.02,1031.1,83.02
434.5,23.39,69.13,1010.99,90.66
465.3329772949219,14.3,54.3,1015.16,75.29
452.5065002441406,17.49,63.94,1020.02,82.6
429.74,31.1,69.51,1010.84,45.4
456.0654602050781,19.77,56.65,1020.67,66.33
441.643310546875,28.61,72.29,1011.61,45.33
460.76,13.52,41.48,1014.46,67.12
471.95,13.52,40.83,1008.31,84.14
458.582763671875,17.57,46.21,1014.09,80.81
441.61,28.18,60.07,1016.34,49.13
464.32855224609375,14.29,46.18,1017.01,87.29
465.77532958984375,18.12,43.69,1016.91,52.95
431.8385925292969,31.27,73.91,1003.72,68.92
434.8729248046875,26.24,77.95,1014.19,85.21
479.08,7.44,41.04,1021.84,88.56
436.0286865234375,29.78,74.78,1009.28,55.09
445.20294189453125,23.37,65.46,1016.25,48.64
476.47125244140625,10.62,39.58,1011.9,87.85
484.9712219238281,5.84,43.02,1013.88,87.42
463.17,14.51,53.82,1016.46,62.75
471.26,11.31,42.02,1001.18,94.86
478.6919250488281,11.25,40.67,1011.64,63.54
474.8257751464844,9.18,39.42,1025.41,69.46
452.7063293457031,19.82,58.16,1016.76,74.66
441.7320556640625,24.77,58.41,1013.78,80.57
482.2,9.66,41.06,1021.21,84.7
452.48,21.96,59.8,1016.72,72.6
464.48,18.59,43.14,1011.92,52.63
438.1,24.75,69.89,1015.29,82.01
443.58258056640625,24.37,63.47,1012.77,75.22
442.43,29.6,67.79,1010.37,51.05
443.35882568359375,25.32,61.25,1011.56,80.1
466.56,16.15,41.85,1016.54,81.58
457.29,15.74,71.14,1019.65,65.94
486.502197265625,5.97,36.25,1029.65,86.74
464.93,15.84,52.72,1026.45,62.57
466.0,14.84,44.63,1019.28,57.37
465.7137756347656,12.25,48.79,1017.44,88.91
434.48126220703125,27.38,70.04,1011.18,72.26
480.0769958496094,8.76,41.48,1018.49,74.98
460.7320861816406,15.54,39.31,1009.69,71.19
465.57,18.71,39.39,1014.09,62.82
467.67,13.06,41.78,1012.3,55.31
474.21209716796875,12.72,40.71,1016.02,71.57
463.72,19.83,39.39,1013.73,59.16
443.78,27.23,49.16,1004.03,40.8
439.3594055175781,24.27,68.28,1005.43,67.63
464.43,11.8,40.66,1017.13,97.2
484.36,6.76,36.25,1028.31,91.16
442.16,25.99,63.07,1012.5,64.81
463.80255126953125,16.3,39.63,1004.64,85.61
456.4253234863281,16.5,49.39,1018.35,93.42
478.90740966796875,10.59,42.49,1009.59,77.36
437.04,26.05,65.59,1012.78,67.03
458.9173278808594,19.5,40.79,1003.8,89.45
450.6,22.21,45.01,1012.22,54.84
468.9947814941406,17.86,45.0,1023.25,53.48
437.2408447265625,29.96,70.04,1010.15,54.47
466.7700500488281,19.08,44.63,1020.14,43.36
446.6439514160156,23.59,47.43,1006.64,48.92
488.92,3.38,39.64,1011.0,81.22
433.36,26.39,66.49,1012.96,60.35
481.7214660644531,8.99,39.04,1021.99,75.98
479.744140625,10.91,41.04,1026.57,74.24
