PE,AT,V,AP,RH
431.76,27.92,74.99,1005.47,75.13
454.97,17.34,44.78,1007.81,56.38
456.7,17.94,63.07,1012.42,94.35
,6.4,39.9,1007.75,86.55
472.79,11.78,39.96,1011.37,82.95
,20.28,57.25,1010.12,88.42
443.41,21.04,54.2,1012.26,85.61
,25.11,67.32,1014.49,58.39
,30.28,70.98,1007.51,74.28
480.25,8.14,36.24,1013.15,87.85
,16.86,39.63,1004.47,83.5
494.39,6.25,40.07,1020.19,65.24
,22.35,54.42,1012.46,75.01
448.71,17.98,56.85,1012.28,84.52
,21.19,42.48,1013.43,80.52
450.71,20.94,44.89,1009.64,75.14
444.01,24.23,58.79,1009.8,75.75
,19.18,58.2,1017.46,76.72
450.87,20.88,57.85,1012.39,85.47
,23.67,63.86,1019.67,57.95
,14.12,39.52,1018.41,78.32
447.28,25.23,64.63,1020.59,52.2
,6.54,39.33,1011.54,93.69
450.98,20.08,62.52,1017.99,75.74
,24.67,63.56,1013.75,67.56
436.48,27.82,79.74,1008.37,69.46
,15.55,42.03,1017.41,74.58
442.56,24.26,69.51,1013.43,53.23
,13.45,41.49,1020.19,88.72
479.13,11.06,40.64,1021.47,96.16
,24.91,52.3,1008.72,68.26
,22.39,59.04,1011.78,86.39
,11.95,40.69,1015.62,85.34
469.3,14.85,40.69,1014.91,72.64
,10.11,41.62,1017.17,97.82
,23.67,68.67,1006.71,77.22
461.03,16.14,44.21,1020.36,80.59
466.74,15.11,43.13,1014.99,46.91
444.04,24.14,59.87,1018.47,57.76
,30.08,67.25,1017.6,53.09
,14.77,44.9,1020.5,84.31
,27.6,69.34,1009.63,71.58
466.74,13.89,44.84,1023.66,92.97
,26.85,75.6,1017.43,74.55
473.59,12.41,40.96,1023.36,78.96
,13.08,41.74,1020.75,64.44
,18.93,44.06,1017.58,68.23
452.94,20.5,49.69,1009.6,70.81
435.83,30.72,69.13,1009.94,61.66
,7.55,39.22,1014.53,77.76
,13.49,44.47,1030.46,69.49
,15.62,40.12,1013.03,96.26
447.82,24.8,64.63,1020.69,55.74
,10.03,41.62,1014.55,95.61
,22.43,63.21,1012.06,84.75
,14.95,39.31,1009.15,75.3
,24.78,58.46,1016.82,67.5
,23.2,48.41,1008.64,80.92
,14.01,39.0,1016.73,79.23
453.84,19.4,64.63,1020.38,81.1
,30.15,67.32,1013.83,32.8
,6.91,36.08,1021.82,84.31
,29.04,60.07,1015.42,46.15
,26.02,63.07,1010.94,53.96
,5.89,39.48,1005.11,59.83
,26.52,71.64,1008.27,75.3
,28.53,68.08,1013.27,42.53
,16.59,39.54,1007.97,70.58
,22.95,67.79,1009.89,91.69
,23.96,47.43,1008.38,63.55
457.15,17.48,44.2,1018.89,61.51
482.57,6.69,43.65,1020.14,69.55
476.03,10.25,41.26,1007.44,98.08
,28.87,72.58,1008.69,79.34
472.7,12.04,40.23,1018.07,81.28
445.6,22.58,52.3,1009.04,78.99
464.78,15.12,52.05,1014.63,80.38
,25.48,58.95,1017.02,51.16
,27.87,70.79,1003.96,72.17
,23.72,70.47,1010.65,75.39
,25.0,59.43,1007.84,68.91
,8.42,40.64,1022.35,96.38
448.46,22.46,58.49,1011.5,70.54
,29.92,57.19,1008.62,45.8
471.8,11.68,39.22,1017.9,57.95
,14.04,42.44,1012.74,81.89
,19.86,59.14,1016.12,69.32
,25.99,68.08,1013.13,59.14
441.46,23.42,58.79,1009.74,81.54
,10.6,40.22,1011.37,85.81
,20.97,61.87,1011.45,65.41
472.52,14.14,39.82,1012.46,81.15
,8.56,40.71,1021.27,95.87
,24.86,72.39,1001.15,90.24
431.37,29.0,77.54,1011.33,75.13
,27.59,71.97,1008.64,88.22
,10.45,40.71,1015.68,81.48
471.11,8.51,40.78,1023.51,89.84
,29.82,66.51,1010.98,43.57
,22.56,62.26,1012.11,63.16
,11.38,39.22,1018.62,57.14
,20.25,57.76,1016.28,77.76
,22.42,59.43,1007.12,90.56
,14.85,38.91,1014.48,60.98
444.14,25.62,58.82,1010.02,70.31
,19.85,56.53,1020.57,74.05
,13.67,54.3,1015.92,75.42
442.04,24.39,70.72,1009.78,82.25
471.36,16.07,44.58,1019.52,67.95
460.7,11.6,39.1,1009.81,100.09
,31.38,70.83,1010.35,47.28
,29.91,76.86,998.59,72.41
,19.67,59.39,1014.07,77.67
,27.18,64.79,1016.27,63.7
,21.39,52.3,1009.2,79.77
,10.45,41.01,1020.57,93.84
447.86,19.46,56.89,1014.02,84.95
,23.55,62.96,1020.16,70.16
,23.35,63.47,1011.78,84.24
483.51,9.26,41.66,1016.87,73.32
,10.3,41.46,1018.21,86.17
,20.94,58.16,1016.88,65.43
431.91,23.13,71.25,1002.49,94.59
,12.77,41.5,1014.13,86.8
,28.29,69.13,1009.29,58.18
450.81,19.13,59.21,1018.32,89.66
,24.44,73.5,1011.49,87.39
,20.32,44.6,1015.16,36.35
,20.54,69.05,1001.6,79.62
,12.16,45.0,1021.51,50.52
,28.09,65.27,1013.27,51.96
478.48,9.25,41.82,1033.25,74.73
,21.75,49.82,1015.01,78.33
,23.7,66.56,1002.07,85.19
,16.22,37.87,1022.36,83.13
438.28,24.75,69.45,1013.97,53.49
,10.48,39.58,1011.81,88.86
,29.53,70.79,1003.7,60.89
470.18,12.59,39.72,1017.76,61.14
,23.5,54.42,1012.31,68.29
428.32,29.01,66.56,1006.44,57.62
,9.75,42.49,1010.57,83.63
,19.55,56.53,1020.2,78.1
,21.05,58.33,1013.14,66.34
,24.72,68.67,1006.74,79.02
452.43,21.19,58.86,1014.19,68.96
,10.77,41.54,1019.94,71.13
,28.68,73.77,1004.72,87.01
,29.87,73.91,1004.53,74.3
446.67,22.99,68.67,1006.65,77.62
445.26,24.66,60.29,1018.0,59.56
,32.63,69.89,1013.85,41.66
,31.38,72.29,1008.73,73.27
439.86,23.87,60.27,1018.94,77.16
441.11,25.6,59.15,1013.31,67.02
,27.62,71.14,1011.6,52.8
434.01,30.1,67.45,1014.23,39.04
,12.19,41.17,1019.43,65.47
460.44,13.11,41.58,1020.43,74.32
436.4,28.29,68.67,1005.46,69.22
461.03,13.45,40.73,1018.7,93.88
479.08,10.98,41.54,1019.94,69.83
435.76,26.48,69.14,1009.31,84.11
,13.07,45.51,1015.22,78.65
442.2,25.56,75.6,1017.37,69.31
447.69,22.68,50.78,1008.83,70.3
,28.86,73.67,1006.65,68.23
,22.7,63.56,1014.32,71.76
431.59,27.89,73.21,1001.32,85.88
,13.78,44.47,1027.94,71.09
,28.14,51.43,1012.16,52.67
,11.8,45.09,1013.21,89.68
,10.71,39.61,1018.72,73.66
447.67,24.54,60.29,1017.42,58.94
,11.54,40.05,1014.78,87.05
437.14,29.47,71.32,1008.07,67.0
,29.24,69.05,1003.12,43.18
,14.51,41.79,1009.72,80.62
,22.91,60.07,1016.03,59.72
,27.02,71.77,1006.38,72.1
,13.49,44.47,1030.18,69.15
,30.24,66.75,1017.95,55.66
445.52,23.19,48.6,1002.38,61.19
462.69,17.73,40.55,1003.36,74.62
,18.62,61.27,1019.26,73.35
463.74,12.85,40.0,1015.89,68.85
,32.33,69.68,1011.95,39.89
,25.09,58.95,1016.99,53.16
,29.45,69.13,1009.3,52.97
,16.91,43.96,1013.32,79.87
465.6,14.09,45.87,1009.05,84.09
469.43,10.73,25.36,1009.35,100.15
,23.2,49.3,1003.4,79.77
,8.21,38.91,1015.82,88.99
,9.3,40.56,1022.64,76.14
,16.97,39.16,1005.7,69.13
438.62,23.69,71.97,1009.62,93.03
,25.13,59.44,1012.38,77.92
481.87,9.86,43.56,1015.13,74.89
,11.33,41.5,1013.58,88.7
436.54,26.95,48.41,1008.53,62.94
456.63,15.0,40.66,1016.28,89.62
451.69,20.76,62.52,1015.63,81.04
,14.29,39.59,1010.93,94.53
,19.74,67.71,1007.68,64.02
,26.68,59.92,1009.94,70.57
466.88,14.24,41.4,1019.7,70.32
,21.98,48.41,1008.42,84.86
,22.75,59.39,1015.4,81.41
,8.34,40.96,1023.28,89.45
,11.8,41.2,1017.18,82.71
479.24,8.81,44.68,1023.06,93.93
,30.05,73.68,1014.95,70.6
,16.01,65.46,1014.0,87.68
,21.75,58.79,1012.42,87.58
,13.94,41.26,1021.67,74.4
,29.25,69.13,1010.27,67.35
,22.33,45.87,1007.8,63.61
,16.43,41.79,1005.47,76.89
,11.5,40.22,1010.31,78.08
,23.53,68.94,1007.53,69.17
452.77,21.86,49.21,1014.61,53.31
,6.17,39.33,1012.57,93.32
,30.19,64.79,1017.22,42.47
,11.67,41.93,1019.81,82.58
,15.34,36.99,1007.87,94.59
,11.5,40.78,1023.91,86.31
,25.53,57.17,1010.0,72.57
,21.27,57.5,1014.53,80.76
,28.37,69.13,1010.44,71.93
449.63,28.39,51.43,1011.74,47.54
,13.78,45.78,1025.27,95.72
464.67,14.6,42.32,1015.71,77.03
,5.1,35.57,1027.17,80.49
,7.0,38.08,1020.27,77.67
,26.3,77.95,1009.45,78.72
,30.56,71.98,1004.74,58.77
,21.09,46.63,1013.03,74.8
,28.21,70.02,1010.58,51.34
,15.84,49.69,1015.14,90.41
478.79,10.03,40.96,1024.57,91.1
,20.37,52.05,1012.34,62.57
,21.19,50.16,1005.81,84.27
434.83,33.73,69.88,1007.21,42.93
,29.87,73.68,1015.1,40.96
,19.62,62.96,1020.76,76.53
,9.93,40.67,1018.08,69.74
473.57,9.43,37.14,1013.03,74.99
,14.24,39.58,1011.17,70.45
,12.97,49.83,1008.69,91.49
,7.6,41.04,1021.82,88.97
,8.39,36.24,1013.39,89.13
444.01,25.41,48.06,1013.12,46.52
465.17,18.43,56.03,1020.41,60.55
480.61,10.31,39.82,1012.87,88.71
,11.29,41.5,1013.39,89.15
,22.61,49.3,1003.51,83.02
,29.34,71.98,1005.19,75.19
444.77,18.87,67.71,1004.0,87.35
,13.21,45.87,1008.58,85.66
470.5,11.3,44.6,1018.19,91.66
431.0,29.23,72.99,1007.04,63.47
,27.76,69.4,1004.27,72.25
,29.26,67.17,1006.6,70.58
,25.72,49.82,1016.19,60.1
,23.43,63.94,1010.64,89.29
,25.6,63.76,1010.18,67.43
,22.3,44.57,1008.48,67.58
430.73,27.91,72.24,1010.74,70.8
432.75,30.35,77.17,1009.55,63.62
446.79,21.78,47.43,1007.88,66.68
,7.19,41.39,1018.12,90.76
,20.88,59.8,1015.66,75.34
458.31,24.19,50.23,1015.73,59.77
,9.98,41.54,1019.7,80.79
,23.47,51.3,1011.89,74.1
,26.35,49.5,1012.67,41.34
,29.89,64.69,1006.37,58.78
,19.29,50.16,1010.49,97.78
,17.48,43.14,1018.68,74.85
445.84,25.21,75.6,1017.19,69.84
,23.3,48.78,1018.17,75.36
,15.42,37.85,1009.89,85.8
444.19,21.44,63.09,1016.56,90.11
,29.45,68.27,1007.96,61.63
,29.69,47.93,1002.85,44.76
,15.52,36.99,1006.86,89.7
,11.47,43.67,1012.68,72.51
,9.77,34.69,1027.72,74.98
,22.6,69.84,1006.37,79.59
477.9,8.24,39.61,1017.99,78.42
457.26,17.01,44.2,1019.18,61.23
,19.64,44.6,1015.88,47.56
,10.61,41.58,1021.08,93.06
,12.04,40.1,1014.42,89.65
,29.19,65.71,1013.85,50.5
452.84,21.75,45.09,1014.15,44.84
,23.66,77.54,1008.5,85.32
,27.05,75.33,1003.88,82.94
435.27,29.63,69.71,1009.04,67.26
,18.2,39.63,1005.35,79.05
,32.22,70.8,1009.9,62.03
430.63,26.88,73.56,1004.85,94.36
440.74,29.05,65.74,1013.29,60.02
474.49,8.9,39.96,1026.31,95.46
,18.93,48.6,1005.72,84.92
436.73,27.49,63.76,1010.09,62.8
434.58,23.1,70.79,1006.53,90.81
,11.22,43.13,1017.24,80.9
435.99,31.97,79.74,1007.03,55.84
466.83,13.32,43.22,1009.45,75.3
427.22,31.68,68.24,1005.29,37.34
444.07,23.69,63.77,1013.39,79.5
469.57,13.83,41.49,1020.11,87.29
459.89,18.32,66.51,1015.18,81.5
,11.05,40.71,1024.91,76.42
440.92,22.03,64.69,1007.21,75.75
,10.23,41.46,1020.45,84.95
,23.92,66.54,1009.93,62.37
430.2,29.38,69.68,1011.35,49.25
,17.35,42.86,1014.62,74.16
,9.81,44.45,1021.19,90.55
485.43,4.97,40.64,1020.91,94.28
,5.15,40.07,1012.27,63.31
,21.54,58.49,1010.85,78.9
,7.94,42.02,1006.22,90.97
,18.77,50.66,1014.89,87.34
443.67,21.69,69.94,1010.7,80.8
,10.07,44.68,1023.44,90.95
,13.83,39.64,1012.52,69.97
,10.45,39.69,1003.92,89.45
,11.56,40.71,1015.85,76.08
435.21,23.64,70.04,1011.09,83.35
,10.48,40.22,1004.81,92.16
475.89,13.09,39.85,1012.86,58.42
,10.67,40.23,1017.75,85.06
,12.57,39.16,1016.53,88.91
,14.45,43.34,1015.47,83.33
471.05,14.22,37.85,1011.24,88.49
,6.97,41.26,1010.6,96.88
,20.61,63.86,1015.43,73.86
,14.67,42.28,1007.21,65.17
,29.06,72.86,1004.23,69.41
,14.38,40.1,1015.51,81.23
,32.51,69.98,1013.29,54.07
,11.79,45.09,1013.16,89.17
485.87,8.65,40.56,1023.23,78.85
,9.75,40.81,1026.0,84.44
,9.11,40.02,1031.1,83.02
434.5,23.39,69.13,1010.99,90.66
464.9,14.3,54.3,1015.16,75.29
,17.49,63.94,1020.02,82.6
,31.1,69.51,1010.84,45.4
457.09,19.77,56.65,1020.67,66.33
,28.61,72.29,1011.61,45.33
,13.52,41.48,1014.46,67.12
471.95,13.52,40.83,1008.31,84.14
453.29,17.57,46.21,1014.09,80.81
,28.18,60.07,1016.34,49.13
,14.29,46.18,1017.01,87.29
,18.12,43.69,1016.91,52.95
,31.27,73.91,1003.72,68.92
,26.24,77.95,1014.19,85.21
479.08,7.44,41.04,1021.84,88.56
,29.78,74.78,1009.28,55.09
,23.37,65.46,1016.25,48.64
,10.62,39.58,1011.9,87.85
489.05,5.84,43.02,1013.88,87.42
463.17,14.51,53.82,1016.46,62.75
471.26,11.31,42.02,1001.18,94.86
480.49,11.25,40.67,1011.64,63.54
,9.18,39.42,1025.41,69.46
,19.82,58.16,1016.76,74.66
446.27,24.77,58.41,1013.78,80.57
482.2,9.66,41.06,1021.21,84.7
,21.96,59.8,1016.72,72.6
464.48,18.59,43.14,1011.92,52.63
438.1,24.75,69.89,1015.29,82.01
,24.37,63.47,1012.77,75.22
442.43,29.6,67.79,1010.37,51.05
436.67,25.32,61.25,1011.56,80.1
,16.15,41.85,1016.54,81.58
457.29,15.74,71.14,1019.65,65.94
,5.97,36.25,1029.65,86.74
464.93,15.84,52.72,1026.45,62.57
,14.84,44.63,1019.28,57.37
469.52,12.25,48.79,1017.44,88.91
428.88,27.38,70.04,1011.18,72.26
,8.76,41.48,1018.49,74.98
,15.54,39.31,1009.69,71.19
,18.71,39.39,1014.09,62.82
,13.06,41.78,1012.3,55.31
,12.72,40.71,1016.02,71.57
,19.83,39.39,1013.73,59.16
,27.23,49.16,1004.03,40.8
445.23,24.27,68.28,1005.43,67.63
464.43,11.8,40.66,1017.13,97.2
,6.76,36.25,1028.31,91.16
442.16,25.99,63.07,1012.5,64.81
,16.3,39.63,1004.64,85.61
462.48,16.5,49.39,1018.35,93.42
,10.59,42.49,1009.59,77.36
,26.05,65.59,1012.78,67.03
,19.5,40.79,1003.8,89.45
,22.21,45.01,1012.22,54.84
465.78,17.86,45.0,1023.25,53.48
,29.96,70.04,1010.15,54.47
459.81,19.08,44.63,1020.14,43.36
,23.59,47.43,1006.64,48.92
488.92,3.38,39.64,1011.0,81.22
433.36,26.39,66.49,1012.96,60.35
483.35,8.99,39.04,1021.99,75.98
,10.91,41.04,1026.57,74.24
,13.08,39.82,1012.27,85.21
,23.95,58.46,1017.5,68.46
,15.64,43.71,1024.51,78.31
,18.78,54.2,1012.05,89.25
,20.65,50.59,1016.22,68.57
,4.96,40.07,1011.8,67.38
,23.51,57.32,1012.55,53.6
,5.99,35.79,1011.56,91.69
442.9,23.65,66.05,1019.6,78.21
,5.17,39.33,1009.68,94.19
457.81,26.38,49.5,1012.82,37.19
,6.02,43.65,1013.85,83.53
443.23,23.2,61.02,1009.63,79.45
,8.57,39.69,1000.91,99.9
,30.72,71.58,1009.98,50.39
,21.52,50.66,1013.56,74.33
438.34,22.93,62.26,1011.25,83.66
,5.71,41.31,1003.24,89.48
452.82,18.62,44.06,1017.76,64.59
435.04,27.88,68.94,1007.68,75.68
,22.32,59.8,1016.82,64.18
,14.55,42.74,1028.41,70.09
,17.83,44.92,1025.04,70.58
,9.68,39.96,1026.09,99.28
,19.41,49.39,1020.84,81.89
,13.22,44.92,1023.84,87.99
,12.24,44.92,1023.74,88.21
452.82,19.21,58.49,1011.7,91.29
432.69,29.74,70.32,1008.1,52.72
,23.28,60.84,1017.91,67.5
,8.02,41.92,1029.8,92.05
445.98,22.47,48.6,1002.33,63.23
436.91,27.51,73.77,1002.42,90.88
455.01,17.51,44.9,1009.05,74.91
437.11,23.22,66.56,1002.47,85.39
477.06,11.73,40.64,1020.68,96.98
,21.19,67.71,1006.65,56.28
,5.48,40.07,1019.63,65.62
,24.26,66.44,1011.33,55.32
,12.32,41.62,1012.88,88.88
,31.26,68.94,1005.94,39.49
,32.09,72.86,1003.47,54.59
,24.98,60.32,1015.63,57.19
,27.48,61.41,1012.2,45.06
,21.04,45.09,1014.19,40.62
,27.75,70.4,1006.65,90.21
435.53,22.79,71.77,1005.75,90.91
,24.22,68.51,1013.23,74.96
,27.06,64.45,1008.72,54.21
,29.25,71.94,1007.18,63.62
436.25,26.86,68.08,1012.99,50.04
,29.64,67.79,1009.99,51.23
,19.92,63.31,1015.02,82.71
,18.5,51.43,1010.82,92.04
,23.71,60.23,1009.76,90.67
,14.39,44.84,1023.55,91.14
,19.3,56.65,1020.55,70.43
,24.65,52.36,1014.76,66.63
,13.5,45.51,1015.33,86.95
,9.82,41.26,1007.71,96.69
,18.4,44.06,1017.36,70.88
,28.12,44.89,1009.18,47.14
463.88,17.15,43.69,1017.05,63.36
,30.69,73.67,1006.14,60.58
,28.82,65.71,1014.24,54.3
,21.3,48.92,1010.92,65.09
431.59,30.58,70.04,1010.4,48.16
447.5,21.17,52.3,1009.36,81.51
,9.87,41.82,1033.04,68.57
,22.18,59.8,1016.77,73.16
,24.39,63.21,1012.59,80.88
476.81,10.73,44.92,1025.1,85.4
,9.38,40.46,1019.29,75.77
,20.27,57.76,1016.66,75.76
433.62,24.82,66.48,1006.4,70.21
,16.55,41.66,1011.45,55.53
,20.73,59.87,1019.08,80.48
474.12,9.51,39.22,1015.3,72.41
,8.63,43.79,1016.08,83.25
,6.48,40.27,1010.55,82.12
,14.95,43.52,1022.43,94.75
,5.76,45.87,1010.83,95.79
,10.94,39.04,1021.81,86.02
463.86,15.87,41.16,1005.85,78.29
,12.42,38.25,1012.76,82.23
446.51,29.12,58.84,1001.31,52.86
437.71,29.12,51.43,1005.93,60.66
,19.08,41.1,1001.96,62.77
437.91,31.06,67.17,1007.62,65.54
,5.72,39.33,1009.96,95.4
439.66,26.52,65.06,1013.4,51.78
463.27,13.84,44.9,1007.58,63.62
,13.03,39.52,1016.68,83.09
433.38,25.94,66.49,1012.83,61.81
459.01,16.64,53.82,1015.13,68.24
,14.13,40.75,1016.05,72.41
,13.65,39.28,1012.97,79.64
,14.5,44.47,1028.2,66.95
,19.8,51.19,1008.25,91.98
,25.2,63.76,1009.78,64.96
447.14,20.66,51.19,1008.81,88.93
472.32,12.07,43.71,1025.53,85.62
,25.64,70.72,1010.16,84.0
440.04,23.33,72.99,1009.33,89.41
,29.41,64.05,1009.82,67.4
457.26,16.6,53.16,1014.5,76.75
,27.53,72.58,1009.13,89.06
449.07,20.62,43.43,1009.93,64.02
,26.02,71.94,1009.38,64.12
,12.75,44.2,1017.59,81.22
465.56,12.87,48.04,1012.47,100.13
,25.77,62.96,1019.86,58.07
,14.84,41.48,1017.26,63.42
,7.41,40.71,1023.07,83.32
,8.87,41.82,1033.3,74.28
,9.69,40.46,1019.1,71.91
,16.17,46.97,1014.22,85.8
,26.24,49.82,1014.9,55.58
,13.78,43.22,1011.31,69.7
,26.3,67.07,1006.26,63.79
456.4,17.37,57.76,1016.0,86.59
448.43,23.6,48.98,1015.41,48.28
481.6,8.3,36.08,1020.63,80.42
,18.86,42.18,1001.16,98.58
,22.12,49.39,1019.8,72.83
440.28,28.41,75.6,1018.48,56.07
,29.42,71.32,1002.26,67.13
,18.61,67.71,1004.07,84.49
,27.57,69.84,1004.91,68.37
470.87,12.83,41.5,1013.12,86.07
,9.64,39.85,1012.9,83.82
,19.13,58.66,1013.32,74.86
470.22,15.92,40.56,1020.79,53.52
