concrete_compressive_strength,cement,blast_furnace_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate,age
21.913957595825195,349.0,0.0,0.0,192.0,0.0,1056.0,809.0,3
22.902616500854492,349.0,0.0,0.0,192.0,0.0,1056.0,809.0,7
39.488040924072266,349.0,0.0,0.0,192.0,0.0,1056.0,809.0,28
39.63916778564453,349.0,0.0,0.0,192.0,0.0,1056.0,809.0,90
41.1458740234375,349.0,0.0,0.0,192.0,0.0,1056.0,809.0,120
15.506217956542969,238.0,0.0,0.0,186.0,0.0,1119.0,789.0,7
22.978836059570312,238.0,0.0,0.0,186.0,0.0,1119.0,789.0,28
20.572431564331055,296.0,0.0,0.0,186.0,0.0,1090.0,769.0,7
21.948169708251953,296.0,0.0,0.0,186.0,0.0,1090.0,769.0,28
22.434406280517578,297.0,0.0,0.0,186.0,0.0,1040.0,734.0,7
39.51091766357422,480.0,0.0,0.0,192.0,0.0,936.0,721.0,28
44.52646255493164,480.0,0.0,0.0,192.0,0.0,936.0,721.0,90
38.011940002441406,397.0,0.0,0.0,186.0,0.0,1040.0,734.0,28
20.9023380279541,281.0,0.0,0.0,186.0,0.0,1104.0,774.0,7
22.439754486083984,281.0,0.0,0.0,185.0,0.0,1104.0,774.0,28
25.126863479614258,500.0,0.0,0.0,200.0,0.0,1125.0,613.0,1
25.126863479614258,500.0,0.0,0.0,200.0,0.0,1125.0,613.0,3
25.5634822845459,500.0,0.0,0.0,200.0,0.0,1125.0,613.0,7
39.5669059753418,500.0,0.0,0.0,200.0,0.0,1125.0,613.0,14
41.94025802612305,500.0,0.0,0.0,200.0,0.0,1125.0,613.0,28
58.57791519165039,540.0,0.0,0.0,173.0,0.0,1125.0,613.0,7
65.88252258300781,540.0,0.0,0.0,173.0,0.0,1125.0,613.0,14
66.29157257080078,540.0,0.0,0.0,173.0,0.0,1125.0,613.0,28
69.66,540.0,0.0,0.0,173.0,0.0,1125.0,613.0,90
69.8325424194336,540.0,0.0,0.0,173.0,0.0,1125.0,613.0,180
69.8325424194336,540.0,0.0,0.0,173.0,0.0,1125.0,613.0,270
22.676738739013672,350.0,0.0,0.0,203.0,0.0,974.0,775.0,7
28.159503936767578,350.0,0.0,0.0,203.0,0.0,974.0,775.0,14
31.330615997314453,350.0,0.0,0.0,203.0,0.0,974.0,775.0,28
31.17560386657715,350.0,0.0,0.0,203.0,0.0,974.0,775.0,56
31.35,350.0,0.0,0.0,203.0,0.0,974.0,775.0,90
31.092443466186523,350.0,0.0,0.0,203.0,0.0,974.0,775.0,180
21.864383697509766,385.0,0.0,0.0,186.0,0.0,966.0,763.0,1
21.864383697509766,385.0,0.0,0.0,186.0,0.0,966.0,763.0,3
23.22,385.0,0.0,0.0,186.0,0.0,966.0,763.0,7
36.098289489746094,385.0,0.0,0.0,186.0,0.0,966.0,763.0,14
38.53951644897461,385.0,0.0,0.0,186.0,0.0,966.0,763.0,28
37.940494537353516,331.0,0.0,0.0,192.0,0.0,978.0,825.0,180
38.416072845458984,331.0,0.0,0.0,192.0,0.0,978.0,825.0,360
21.913957595825195,349.0,0.0,0.0,192.0,0.0,1047.0,806.0,3
14.041932106018066,331.0,0.0,0.0,192.0,0.0,978.0,825.0,3
24.268295288085938,382.0,0.0,0.0,186.0,0.0,1047.0,739.0,7
39.66116714477539,382.0,0.0,0.0,186.0,0.0,1047.0,739.0,28
23.01795768737793,382.0,0.0,0.0,186.0,0.0,1111.0,784.0,7
22.44,281.0,0.0,0.0,186.0,0.0,1104.0,774.0,28
47.70694351196289,339.0,0.0,0.0,185.0,0.0,1069.0,754.0,7
56.87297058105469,339.0,0.0,0.0,185.0,0.0,1069.0,754.0,28
20.874492645263672,295.0,0.0,0.0,185.0,0.0,1069.0,769.0,7
22.311321258544922,295.0,0.0,0.0,185.0,0.0,1069.0,769.0,28
21.966838836669922,238.0,0.0,0.0,185.0,0.0,1118.0,789.0,28
20.25836181640625,296.0,0.0,0.0,192.0,0.0,1085.0,765.0,7
21.65,296.0,0.0,0.0,192.0,0.0,1085.0,765.0,28
46.99296569824219,296.0,0.0,0.0,192.0,0.0,1085.0,765.0,90
13.52,331.0,0.0,0.0,192.0,0.0,879.0,825.0,3
15.774571418762207,331.0,0.0,0.0,192.0,0.0,978.0,825.0,7
31.522281646728516,331.0,0.0,0.0,192.0,0.0,978.0,825.0,28
36.7891960144043,331.0,0.0,0.0,192.0,0.0,978.0,825.0,90
22.902616500854492,349.0,0.0,0.0,192.0,0.0,1047.0,806.0,7
39.3619499206543,349.0,0.0,0.0,192.0,0.0,1047.0,806.0,28
39.49,349.0,0.0,0.0,192.0,0.0,1047.0,806.0,90
41.05,349.0,0.0,0.0,192.0,0.0,1047.0,806.0,180
41.38970184326172,349.0,0.0,0.0,192.0,0.0,1047.0,806.0,360
18.13,302.0,0.0,0.0,203.0,0.0,974.0,817.0,14
46.80970001220703,302.0,0.0,0.0,203.0,0.0,974.0,817.0,180
48.48183059692383,525.0,0.0,0.0,189.0,0.0,1125.0,613.0,180
47.22,500.0,0.0,0.0,200.0,0.0,1125.0,613.0,90
47.23579025268555,500.0,0.0,0.0,200.0,0.0,1125.0,613.0,180
47.23579025268555,500.0,0.0,0.0,200.0,0.0,1125.0,613.0,270
58.05888366699219,540.0,0.0,0.0,173.0,0.0,1125.0,613.0,3
21.18186378479004,252.0,0.0,0.0,185.0,0.0,1111.0,784.0,7
21.98955535888672,252.0,0.0,0.0,185.0,0.0,1111.0,784.0,28
57.21236801147461,339.0,0.0,0.0,185.0,0.0,1060.0,754.0,28
22.46120262145996,393.0,0.0,0.0,192.0,0.0,940.0,758.0,3
39.58,393.0,0.0,0.0,192.0,0.0,940.0,758.0,28
43.02992630004883,393.0,0.0,0.0,192.0,0.0,940.0,758.0,90
49.75699996948242,382.0,0.0,0.0,185.0,0.0,1047.0,739.0,7
60.63541793823242,382.0,0.0,0.0,185.0,0.0,1047.0,739.0,28
22.193859100341797,252.0,0.0,0.0,186.0,0.0,1111.0,784.0,7
21.98955535888672,252.0,0.0,0.0,185.0,0.0,1111.0,784.0,28
19.673879623413086,310.0,0.0,0.0,192.0,0.0,970.0,850.0,7
27.92,310.0,0.0,0.0,192.0,0.0,970.0,850.0,28
47.0981559753418,310.0,0.0,0.0,192.0,0.0,970.0,850.0,90
47.03106689453125,310.0,0.0,0.0,192.0,0.0,970.0,850.0,180
47.543067932128906,310.0,0.0,0.0,192.0,0.0,970.0,850.0,360
26.0257511138916,525.0,0.0,0.0,189.0,0.0,1125.0,613.0,3
26.464866638183594,525.0,0.0,0.0,189.0,0.0,1125.0,613.0,7
40.46829605102539,525.0,0.0,0.0,189.0,0.0,1125.0,613.0,14
42.7967529296875,525.0,0.0,0.0,189.0,0.0,1125.0,613.0,28
48.209163665771484,525.0,0.0,0.0,189.0,0.0,1125.0,613.0,90
48.48183059692383,525.0,0.0,0.0,189.0,0.0,1125.0,613.0,270
21.221416473388672,322.0,0.0,0.0,203.0,0.0,974.0,800.0,14
25.18,322.0,0.0,0.0,203.0,0.0,974.0,800.0,28
29.59,322.0,0.0,0.0,203.0,0.0,974.0,800.0,180
21.75,302.0,0.0,0.0,203.0,0.0,974.0,817.0,28
58.98619079589844,397.0,0.0,0.0,185.0,0.0,1040.0,734.0,28
22.564077377319336,480.0,0.0,0.0,192.0,0.0,936.0,721.0,3
46.211727142333984,522.0,0.0,0.0,146.0,0.0,896.0,896.0,7
58.8325309753418,522.0,0.0,0.0,146.0,0.0,896.0,896.0,28
32.58867645263672,273.0,105.0,82.0,210.0,9.0,904.0,680.0,28
35.86067581176758,162.0,190.0,148.0,179.0,19.0,838.0,741.0,28
16.5,154.0,144.0,112.0,220.0,10.0,923.0,658.0,28
20.500131607055664,147.0,115.0,89.0,202.0,9.0,860.0,829.0,28
36.35,152.0,178.0,139.0,168.0,18.0,944.0,695.0,28
45.71211624145508,310.0,143.0,111.0,168.0,22.0,914.0,651.0,28
19.025854110717773,144.0,0.0,175.0,158.0,18.0,943.0,844.0,28
23.648242950439453,304.0,140.0,0.0,214.0,6.0,895.0,722.0,28
37.19181442260742,374.0,0.0,0.0,190.0,7.0,1013.0,730.0,28
19.741199493408203,159.0,149.0,116.0,175.0,15.0,953.0,720.0,28
31.42568588256836,153.0,239.0,0.0,200.0,6.0,1002.0,684.0,28
39.97803497314453,310.0,143.0,0.0,168.0,10.0,914.0,804.0,28
30.80571174621582,305.0,0.0,100.0,196.0,10.0,959.0,705.0,28
15.57,151.0,0.0,184.0,167.0,12.0,991.0,772.0,28
26.577524185180664,142.0,167.0,130.0,174.0,11.0,883.0,785.0,28
34.77976989746094,298.0,137.0,107.0,201.0,6.0,878.0,655.0,28
38.469974517822266,321.0,164.0,0.0,190.0,5.0,870.0,774.0,28
42.13573455810547,366.0,187.0,0.0,191.0,7.0,824.0,757.0,28
45.40728759765625,280.0,129.0,100.0,172.0,9.0,825.0,805.0,28
35.079261779785156,252.0,97.0,76.0,194.0,8.0,835.0,821.0,28
17.9061279296875,165.0,0.0,150.0,182.0,12.0,1023.0,729.0,28
37.36,156.0,243.0,0.0,180.0,11.0,1022.0,698.0,28
32.11203384399414,160.0,188.0,146.0,203.0,11.0,829.0,710.0,28
42.64,298.0,0.0,107.0,186.0,6.0,879.0,815.0,28
26.98330307006836,318.0,0.0,126.0,210.0,6.0,861.0,737.0,28
33.77933120727539,287.0,121.0,94.0,188.0,9.0,904.0,696.0,28
61.23,326.0,166.0,0.0,174.0,9.0,882.0,790.0,28
40.87,356.0,0.0,142.0,193.0,11.0,801.0,778.0,28
33.3,132.0,207.0,161.0,179.0,5.0,867.0,736.0,28
39.98149490356445,322.0,149.0,0.0,186.0,8.0,951.0,709.0,28
24.08221435546875,164.0,0.0,200.0,181.0,13.0,849.0,846.0,28
45.45072555541992,314.0,0.0,113.0,170.0,10.0,925.0,783.0,28
45.16926574707031,321.0,0.0,128.0,182.0,11.0,870.0,780.0,28
24.71210479736328,140.0,164.0,128.0,237.0,6.0,869.0,656.0,28
35.16701126098633,288.0,121.0,0.0,177.0,7.0,908.0,829.0,28
32.13235092163086,298.0,0.0,107.0,210.0,11.0,880.0,744.0,28
35.19649124145508,265.0,111.0,86.0,195.0,6.0,833.0,790.0,28
37.96767807006836,160.0,250.0,0.0,168.0,12.0,1049.0,688.0,28
39.0897216796875,166.0,260.0,0.0,183.0,13.0,859.0,827.0,28
40.00714111328125,276.0,116.0,90.0,180.0,9.0,870.0,768.0,28
27.389123916625977,322.0,0.0,116.0,196.0,10.0,818.0,813.0,28
17.866655349731445,149.0,139.0,109.0,193.0,6.0,892.0,780.0,28
36.365074157714844,159.0,187.0,0.0,176.0,11.0,990.0,789.0,28
33.61839294433594,261.0,100.0,78.0,201.0,9.0,864.0,761.0,28
33.47268295288086,237.0,92.0,71.0,247.0,6.0,853.0,695.0,28
39.256771087646484,313.0,0.0,113.0,178.0,8.0,1002.0,689.0,28
31.26552391052246,155.0,183.0,0.0,193.0,9.0,1047.0,697.0,28
29.769441604614258,146.0,230.0,0.0,202.0,3.0,827.0,872.0,28
31.42,296.0,0.0,107.0,221.0,11.0,819.0,778.0,28
31.03,133.0,210.0,0.0,196.0,3.0,949.0,795.0,28
36.352577209472656,313.0,145.0,0.0,178.0,8.0,867.0,824.0,28
15.832639694213867,152.0,0.0,112.0,184.0,8.0,992.0,816.0,28
18.325916290283203,153.0,145.0,113.0,178.0,8.0,1002.0,689.0,28
17.922407150268555,140.0,133.0,103.0,200.0,7.0,916.0,753.0,28
32.96,149.0,236.0,0.0,176.0,13.0,847.0,893.0,28
32.69382095336914,300.0,0.0,120.0,212.0,10.0,878.0,728.0,28
20.00257110595703,153.0,145.0,113.0,178.0,8.0,867.0,824.0,28
17.95,148.0,0.0,137.0,158.0,16.0,1002.0,830.0,28
27.17581558227539,326.0,0.0,138.0,199.0,11.0,801.0,792.0,28
18.918550491333008,153.0,145.0,0.0,178.0,8.0,1000.0,822.0,28
32.144351959228516,262.0,111.0,86.0,195.0,5.0,895.0,733.0,28
16.429702758789062,158.0,0.0,195.0,220.0,11.0,898.0,713.0,28
17.046100616455078,151.0,0.0,185.0,167.0,16.0,1074.0,678.0,28
31.962928771972656,273.0,0.0,90.0,199.0,11.0,931.0,762.0,28
19.08441734313965,149.0,118.0,92.0,183.0,7.0,953.0,780.0,28
29.72,143.0,169.0,143.0,191.0,8.0,967.0,643.0,28
38.80305862426758,260.0,101.0,78.0,171.0,10.0,936.0,763.0,28
38.034786224365234,313.0,161.0,0.0,178.0,10.0,917.0,759.0,28
36.7622184753418,284.0,120.0,0.0,168.0,7.0,970.0,794.0,28
57.38658905029297,336.0,0.0,0.0,182.0,3.0,986.0,817.0,28
17.895309448242188,145.0,0.0,134.0,181.0,11.0,979.0,812.0,28
37.1589241027832,150.0,237.0,0.0,174.0,12.0,1069.0,675.0,28
26.0257568359375,144.0,170.0,133.0,192.0,8.0,814.0,805.0,28
32.561767578125,331.0,170.0,0.0,195.0,8.0,811.0,802.0,28
13.246932983398438,155.0,0.0,143.0,193.0,9.0,1047.0,697.0,28
32.8327751159668,155.0,183.0,0.0,193.0,9.0,877.0,868.0,28
19.381444931030273,135.0,0.0,166.0,180.0,10.0,961.0,805.0,28
38.569881439208984,266.0,112.0,87.0,178.0,10.0,910.0,745.0,28
46.23,314.0,145.0,113.0,179.0,8.0,869.0,690.0,28
46.08149337768555,313.0,145.0,0.0,127.0,8.0,1000.0,822.0,28
25.628620147705078,146.0,173.0,0.0,182.0,3.0,986.0,817.0,28
21.481306076049805,144.0,136.0,106.0,178.0,7.0,941.0,774.0,28
22.9830322265625,148.0,0.0,182.0,181.0,15.0,839.0,884.0,28
34.94184494018555,277.0,117.0,91.0,191.0,7.0,946.0,666.0,28
43.354061126708984,298.0,0.0,107.0,164.0,13.0,953.0,784.0,28
33.42271041870117,313.0,145.0,0.0,178.0,8.0,1002.0,689.0,28
32.15699768066406,155.0,184.0,143.0,194.0,9.0,880.0,699.0,28
24.34134292602539,289.0,134.0,0.0,195.0,6.0,924.0,760.0,28
24.558883666992188,148.0,175.0,0.0,171.0,2.0,1000.0,828.0,28
18.50161361694336,145.0,0.0,179.0,202.0,8.0,824.0,869.0,28
35.28004837036133,313.0,0.0,0.0,178.0,8.0,1000.0,822.0,28
26.89317512512207,136.0,162.0,126.0,172.0,10.0,923.0,764.0,28
17.80719566345215,155.0,0.0,143.0,193.0,9.0,877.0,868.0,28
34.56618118286133,255.0,99.0,77.0,189.0,6.0,919.0,749.0,28
33.41856002807617,162.0,207.0,172.0,216.0,10.0,822.0,638.0,28
31.052825927734375,136.0,196.0,98.0,199.0,6.0,847.0,783.0,28
25.258913040161133,164.0,163.0,128.0,197.0,8.0,961.0,641.0,28
33.30583953857422,162.0,214.0,164.0,202.0,10.0,820.0,680.0,28
33.0513801574707,157.0,214.0,152.0,200.0,9.0,819.0,704.0,28
17.589406967163086,149.0,153.0,194.0,192.0,8.0,935.0,623.0,28
16.869136810302734,135.0,105.0,193.0,196.0,6.0,965.0,643.0,28
32.61167526245117,159.0,209.0,161.0,201.0,7.0,848.0,669.0,28
18.2965030670166,144.0,15.0,195.0,176.0,6.0,1021.0,709.0,28
24.34,154.0,174.0,185.0,228.0,7.0,845.0,612.0,28
35.462135314941406,167.0,187.0,195.0,185.0,7.0,898.0,636.0,28
23.48126220703125,184.0,86.0,190.0,213.0,6.0,923.0,623.0,28
31.33740234375,156.0,178.0,187.0,221.0,7.0,854.0,614.0,28
33.47268295288086,236.9,91.7,71.5,246.9,6.0,852.9,695.4,28
34.7144660949707,313.3,0.0,113.0,178.5,8.0,1001.9,688.7,28
31.331876754760742,154.8,183.4,0.0,193.3,9.1,1047.4,696.7,28
29.769441604614258,145.9,230.5,0.0,202.5,3.4,827.0,871.8,28
31.46392822265625,296.0,0.0,106.7,221.4,10.5,819.2,778.4,28
31.030546188354492,133.1,210.2,0.0,195.7,3.1,949.4,795.3,28
43.61148452758789,313.3,145.0,0.0,178.5,8.0,867.2,824.0,28
15.89969253540039,151.6,0.0,111.9,184.4,7.9,992.0,815.9,28
18.196714401245117,153.1,145.0,113.0,178.5,8.0,1001.9,688.7,28
17.922407150268555,139.9,132.6,103.3,200.3,7.4,916.0,753.4,28
33.452392578125,149.5,236.0,0.0,175.8,12.6,846.8,892.7,28
32.69382095336914,299.8,0.0,119.8,211.5,9.9,878.2,727.6,28
20.00486946105957,153.1,145.0,113.0,178.5,8.0,867.2,824.0,28
17.85633659362793,148.1,0.0,136.6,158.1,16.1,1001.8,830.1,28
27.17581558227539,326.5,0.0,137.9,199.0,10.8,801.1,792.5,28
19.01,152.7,144.7,0.0,178.1,8.0,999.7,822.2,28
32.144351959228516,261.9,110.5,86.1,195.4,5.0,895.2,732.6,28
16.429702758789062,158.4,0.0,194.9,219.7,11.0,897.7,712.9,28
17.33060073852539,150.7,0.0,185.3,166.7,15.6,1074.5,678.0,28
32.25,272.6,0.0,89.6,198.7,10.6,931.3,762.2,28
19.074430465698242,149.0,117.6,91.7,182.9,7.1,953.4,780.3,28
29.600425720214844,143.0,169.4,142.7,190.7,8.4,967.4,643.5,28
38.789180755615234,259.9,100.6,78.4,170.6,10.4,935.7,762.9,28
38.034786224365234,312.9,160.5,0.0,177.6,9.6,916.6,759.5,28
36.7622184753418,284.0,119.7,0.0,168.3,7.2,970.4,794.2,28
57.4383430480957,336.5,0.0,0.0,181.9,3.4,985.8,816.8,28
17.822839736938477,144.8,0.0,133.6,180.8,11.1,979.5,811.5,28
37.43,150.0,236.8,0.0,173.8,11.9,1069.3,674.8,28
29.418445587158203,143.7,170.2,132.6,191.6,8.5,814.1,805.3,28
32.725914001464844,330.5,169.6,0.0,194.9,8.1,811.0,802.3,28
12.46,154.8,0.0,142.8,193.3,9.1,1047.4,696.7,28
32.89912796020508,154.8,183.4,0.0,193.3,9.1,877.2,867.7,28
19.381444931030273,134.7,0.0,165.7,180.2,10.0,961.0,804.9,28
38.46300506591797,266.2,112.3,87.5,177.9,10.4,909.7,744.5,28
46.22808074951172,314.0,145.3,113.2,178.9,8.0,869.1,690.2,28
46.0962028503418,312.7,144.7,0.0,127.3,8.0,999.7,822.2,28
25.660560607910156,145.7,172.6,0.0,181.9,3.4,985.8,816.8,28
21.481306076049805,143.8,136.3,106.2,178.1,7.5,941.5,774.3,28
22.9830322265625,148.1,0.0,182.1,181.4,15.0,838.9,884.3,28
34.94184494018555,277.0,116.8,91.0,190.6,7.0,946.5,665.6,28
43.354061126708984,298.1,0.0,107.5,163.6,12.8,953.2,784.0,28
41.05,313.3,145.0,0.0,178.5,8.0,1001.9,688.7,28
32.16102600097656,155.2,183.9,143.2,193.8,9.2,879.6,698.5,28
24.09368896484375,289.0,133.7,0.0,194.9,5.5,924.1,760.1,28
26.92,147.8,175.1,0.0,171.2,2.2,1000.0,828.5,28
18.509899139404297,145.4,0.0,178.9,201.7,7.8,824.0,868.7,28
35.08552169799805,312.7,0.0,0.0,178.1,8.0,999.7,822.2,28
26.89031982421875,136.4,161.6,125.8,171.6,10.4,922.6,764.4,28
17.022615432739258,154.8,0.0,142.8,193.3,9.1,877.2,867.7,28
34.56618118286133,255.3,98.8,77.0,188.6,6.5,919.0,749.3,28
32.58867645263672,272.8,105.1,81.8,209.7,9.0,904.0,679.7,28
35.86067581176758,162.0,190.1,148.1,178.8,18.8,838.1,741.4,28
16.521041870117188,153.6,144.2,112.3,220.1,10.1,923.2,657.9,28
20.500131607055664,146.5,114.6,89.3,201.9,8.8,860.0,829.5,28
36.35,151.8,178.1,138.7,167.5,18.3,944.0,694.6,28
45.71211624145508,309.9,142.8,111.2,167.8,22.1,913.9,651.2,28
19.004566192626953,143.6,0.0,174.9,158.4,17.9,942.7,844.5,28
23.648242950439453,303.6,139.9,0.0,213.5,6.2,895.5,722.5,28
37.420719146728516,374.3,0.0,0.0,190.2,6.7,1013.2,730.4,28
19.741199493408203,158.6,148.9,116.0,175.1,15.0,953.3,719.7,28
31.44070053100586,152.6,238.7,0.0,200.0,6.3,1001.8,683.9,28
39.97803497314453,310.0,142.8,0.0,167.9,10.0,914.3,804.0,28
30.80571174621582,304.8,0.0,99.6,196.0,9.8,959.4,705.2,28
17.302745819091797,150.9,0.0,183.9,166.6,11.6,991.2,772.2,28
26.577524185180664,141.9,166.6,129.7,173.5,10.9,882.6,785.3,28
34.649497985839844,297.8,137.2,106.9,201.3,6.0,878.4,655.3,28
38.4678840637207,321.3,164.2,0.0,190.5,4.6,870.0,774.0,28
42.26966094970703,366.0,187.0,0.0,191.3,6.6,824.3,756.9,28
45.425392150878906,279.8,128.9,100.4,172.4,9.5,825.1,804.9,28
35.079261779785156,252.1,97.1,75.6,193.8,8.3,835.5,821.4,28
18.03,164.6,0.0,150.4,181.6,11.7,1023.3,728.9,28
35.07936477661133,155.6,243.5,0.0,180.3,10.7,1022.0,697.7,28
32.10402297973633,160.2,188.0,146.4,203.2,11.3,828.7,709.7,28
42.63920974731445,298.1,0.0,107.0,186.4,6.1,879.0,815.2,28
26.929866790771484,317.9,0.0,126.5,209.7,5.7,860.5,736.6,28
33.77933120727539,287.3,120.5,93.9,187.6,9.2,904.4,695.9,28
60.11061096191406,325.6,166.4,0.0,174.0,8.9,881.6,790.0,28
33.944461822509766,355.9,0.0,141.6,193.3,11.0,801.4,778.4,28
33.299285888671875,132.0,206.5,160.9,178.9,5.5,866.9,735.6,28
40.3556022644043,322.5,148.6,0.0,185.8,8.5,951.0,709.5,28
24.08306121826172,164.2,0.0,200.1,181.2,12.6,849.3,846.0,28
42.86271667480469,313.8,0.0,112.6,169.9,10.1,925.3,782.9,28
45.101409912109375,321.4,0.0,127.9,182.5,11.5,870.1,779.7,28
24.658668518066406,139.7,163.9,127.7,236.7,5.8,868.6,655.6,28
35.16701126098633,288.4,121.0,0.0,177.4,7.0,907.9,829.5,28
31.88,298.2,0.0,107.0,209.7,11.1,879.6,744.2,28
35.19649124145508,264.5,111.0,86.5,195.5,5.9,832.6,790.4,28
37.96767807006836,159.8,250.0,0.0,168.4,12.2,1049.3,688.2,28
39.0897216796875,166.0,259.7,0.0,183.2,12.7,858.8,826.8,28
39.89703369140625,276.4,116.0,90.3,179.6,8.9,870.1,768.3,28
27.3813419342041,322.2,0.0,115.6,196.0,10.4,817.9,813.4,28
18.32537841796875,148.5,139.4,108.6,192.7,6.1,892.4,780.0,28
37.0239372253418,159.1,186.7,0.0,175.6,11.3,989.6,788.9,28
33.61839294433594,260.9,100.5,78.3,200.6,8.6,864.5,761.5,28
